id,nome,turno,periodo,nota1,nota2,nota3
aluno_1,Juliana Silva,Manhã,1,7.5,5.1,2.6
aluno_2,Paulo Nascimento,Manhã,4,0.7,6.0,1.1
aluno_3,Ana Rodrigues,Manhã,1,5.9,3.2,9.7
aluno_4,Vinicius Silva,Noite,5,2.1,7.5,4.6
aluno_5,Vinicius Souza,Tarde,1,3.8,2.0,5.4
aluno_6,Gabriel Nascimento,Manhã,4,0.4,4.4,8.9
aluno_7,Renata Silva,Manhã,5,1.5,1.6,9.6
aluno_8,Mariana Silva,Manhã,5,2.2,4.5,5.6
aluno_9,Daniela Nascimento,Noite,1,5.4,7.1,6.1
aluno_10,Renata Lima,Noite,1,3.6,9.1,4.9
aluno_11,Paulo Nascimento,Noite,3,8.7,5.5,3.3
aluno_12,Vinicius Silva,Tarde,3,6.1,5.7,2.2
aluno_13,Gabriel Pereira,Noite,5,6.7,1.8,7.9
aluno_14,Bruno Oliveira,Tarde,1,7.6,0.7,8.4
aluno_15,Eduardo Souza,Tarde,2,4.3,5.9,1.2
aluno_16,Yasmin Pereira,Noite,5,9.0,0.7,8.5
aluno_17,Lucas Souza,Manhã,4,8.2,2.5,8.9
aluno_18,Vinicius Pereira,Noite,2,6.9,9.5,5.4
aluno_19,Eduardo Pereira,Noite,3,6.8,5.7,4.8
aluno_20,Olivia Almeida,Manhã,5,6.1,0.2,3.8
aluno_21,Gabriel Souza,Tarde,2,0.4,9.7,4.8
aluno_22,Mariana Pereira,Tarde,2,7.7,4.8,5.5
aluno_23,Daniela Costa,Manhã,5,6.3,0.5,8.6
aluno_24,Daniela Santos,Manhã,1,7.0,4.6,4.9
aluno_25,Bruno Silva,Noite,4,5.7,6.7,5.6
aluno_26,Renata Rodrigues,Tarde,1,2.6,6.6,7.1
aluno_27,Renata Lima,Manhã,2,7.8,9.1,8.0
aluno_28,Bruno Oliveira,Tarde,2,8.9,2.6,1.3
aluno_29,Lucas Souza,Noite,5,4.9,9.1,9.5
aluno_30,Juliana Lima,Manhã,1,6.5,1.4,9.0
aluno_31,Paulo Lima,Noite,2,7.2,7.7,2.4
aluno_32,Ana Souza,Tarde,5,9.3,2.3,3.7
aluno_33,Mariana Lima,Noite,3,2.7,1.7,1.3
aluno_34,Lucas Costa,Manhã,2,5.7,0.6,2.1
aluno_35,Paulo Lima,Noite,5,7.0,3.0,0.6
aluno_36,Mariana Silva,Manhã,1,1.0,9.8,7.0
aluno_37,Tatiane Rodrigues,Manhã,2,5.7,5.6,5.2
aluno_38,Tatiane Silva,Tarde,5,2.9,9.6,5.3
aluno_39,Gabriel Souza,Noite,2,3.3,1.9,3.3
aluno_40,Helena Pereira,Tarde,1,9.2,6.9,3.2
aluno_41,Carlos Nascimento,Tarde,5,2.6,8.0,7.1
aluno_42,Eduardo Lima,Manhã,1,6.2,4.2,6.5
aluno_43,Samuel Oliveira,Manhã,1,2.2,9.2,9.5
aluno_44,Mariana Almeida,Manhã,5,2.2,3.1,4.1
aluno_45,Gabriel Pereira,Manhã,2,5.1,1.9,2.3
aluno_46,Lucas Nascimento,Tarde,5,0.9,8.8,2.0
aluno_47,Renata Souza,Manhã,1,1.9,6.8,4.8
aluno_48,Eduardo Santos,Noite,5,9.9,9.2,0.3
aluno_49,Lucas Nascimento,Noite,4,7.8,3.0,1.0
aluno_50,Yasmin Silva,Noite,5,5.6,9.0,10.0
aluno_51,Nicolas Nascimento,Tarde,1,2.2,8.8,0.5
